Case_ID,Base_Image_ID,Image_Path,Image_Name,Original_Split,Split,Label,Age_Months,Breed_Type,Itching_Severity,Lesion_Location,Hair_Loss,Symptom_Duration_Days,Clinical_Text,Metadata_Source,Veterinary_Validated
CASE_8ab2556f0e75,P18_png,valid/demodicosis/P18_png_jpg.rf.cec7aae9064ed3e73dbcec8623e33f43.jpg,P18_png_jpg.rf.cec7aae9064ed3e73dbcec8623e33f43.jpg,valid,train,Demodicosis,14.0,Purebred,Medium,Body,Partial,7.0,"A purebred dog, 14 months old, presents with medium itching and partial hair loss. The main affected location is the body area. The signs have been present for approximately 7 days.",Synthetic_Probabilistic,No
CASE_ee007aeac4c6,1-35-_png,valid/demodicosis/1-35-_png_jpg.rf.c92466f3cd565a41ed295e7b477cefbf.jpg,1-35-_png_jpg.rf.c92466f3cd565a41ed295e7b477cefbf.jpg,valid,valid,Demodicosis,73.0,Purebred,Medium,Face,Partial,49.0,The owner reported medium itching together with partial hair loss in a purebred dog aged 73 months old. Skin changes were mainly observed around the face area for approximately 49 days.,Synthetic_Probabilistic,No
CASE_eeeb64d0a56f,1-9-_png,train/demodicosis/1-9-_png_jpg.rf.7462ed8e28a53482dad9e2f5f055785a.jpg,1-9-_png_jpg.rf.7462ed8e28a53482dad9e2f5f055785a.jpg,train,test,Demodicosis,,Purebred,No_Itching,Paws,Partial,29.0,"A dog of purebred background, aged of unreported age, was observed with partial hair loss and no noticeable itching. The signs were concentrated around the paws area and had continued for approximately 29 days.",Synthetic_Probabilistic,No
CASE_c54512b69cdd,2024-05-13-162700,train/demodicosis/2024-05-13-162700_jpg.rf.f2a0e1750800eb433597a7aaa7440623.jpg,2024-05-13-162700_jpg.rf.f2a0e1750800eb433597a7aaa7440623.jpg,train,train,Demodicosis,2.0,Mixed,Low,Face,Partial,48.0,"The available clinical history concerns a mixed dog that is 2 months old. Findings include low itching, partial hair loss, and changes around the face area. Symptom duration was approximately 48 days.",Synthetic_Probabilistic,No
CASE_30febd0ab9e1,IMG_5217_jpeg,train/demodicosis/IMG_5217_jpeg_jpg.rf.844ded275935c4c9e296c47f26733004.jpg,IMG_5217_jpeg_jpg.rf.844ded275935c4c9e296c47f26733004.jpg,train,train,Demodicosis,18.0,Mixed,Low,Paws,Severe,23.0,"A mixed dog, 18 months old, presents with low itching and severe hair loss. The main affected location is the paws area. The signs have been present for approximately 23 days.",Synthetic_Probabilistic,No
CASE_8492d304ccc4,pic1,train/Dermatitis/pic1_jpg.rf.106df43c414b8ec05b25593274acdf80.jpg,pic1_jpg.rf.106df43c414b8ec05b25593274acdf80.jpg,train,train,Dermatitis,37.0,Purebred,Medium,Belly,Severe,33.0,"The available clinical history concerns a purebred dog that is 37 months old. Findings include medium itching, severe hair loss, and changes around the belly area. Symptom duration was approximately 33 days.",Synthetic_Probabilistic,No
CASE_13915e3784be,1000010610_x4,train/Dermatitis/1000010610_x4_jpg.rf.b13238092ace216de0127d01b5d09afd.jpg,1000010610_x4_jpg.rf.b13238092ace216de0127d01b5d09afd.jpg,train,train,Dermatitis,30.0,Purebred,Medium,Ears,Severe,25.0,"A dog of purebred background, aged 30 months old, was observed with severe hair loss and medium itching. The signs were concentrated around the ears area and had continued for approximately 25 days.",Synthetic_Probabilistic,No
CASE_ca7eb600924e,HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000476_png,train/Dermatitis/HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000476_png_jpg.rf.94cb7af96afa0df0838f044db263f106.jpg,HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000476_png_jpg.rf.94cb7af96afa0df0838f044db263f106.jpg,train,test,Dermatitis,104.0,Purebred,Medium,Tail,Severe,13.0,"Clinical examination of a purebred dog, 104 months old, identified medium itching and severe hair loss. The affected region was mainly the tail area, with a reported duration of approximately 13 days.",Synthetic_Probabilistic,No
CASE_d2878a6ddd39,HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000458_png,train/Dermatitis/HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000458_png_jpg.rf.8c83179e9d8c2585f0cb224422b8e432.jpg,HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000458_png_jpg.rf.8c83179e9d8c2585f0cb224422b8e432.jpg,train,valid,Dermatitis,70.0,Mixed,Medium,Tail,No_Hair_Loss,36.0,"Clinical examination of a mixed dog, 70 months old, identified medium itching and no visible hair loss. The affected region was mainly the tail area, with a reported duration of approximately 36 days.",Synthetic_Probabilistic,No
CASE_cd4dd91b3f10,HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000494_png,train/Dermatitis/HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000494_png_jpg.rf.b863d8a455bfc7818676c9868f584bd2.jpg,HOT-SPOT-IN-DOG-HOW-vet-treated-symptom-prevention_-flea-bite-moist-eczema_dog-itching-000494_png_jpg.rf.b863d8a455bfc7818676c9868f584bd2.jpg,train,train,Dermatitis,114.0,Purebred,High,Belly,Partial,6.0,The owner reported high itching together with partial hair loss in a purebred dog aged 114 months old. Skin changes were mainly observed around the belly area for approximately 6 days.,Synthetic_Probabilistic,No
CASE_7d69d6971971,1035,train/Fungal_infections/1035_jpg.rf.b96af22cbf6953d1fa1789eebd894013.jpg,1035_jpg.rf.b96af22cbf6953d1fa1789eebd894013.jpg,train,train,Fungal Infections,90.0,Purebred,Medium,Face,No_Hair_Loss,34.0,"A dog of purebred background, aged 90 months old, was observed with no visible hair loss and medium itching. The signs were concentrated around the face area and had continued for approximately 34 days.",Synthetic_Probabilistic,No
CASE_8bee25304b73,FUNGAL-INFECTION_007,test/Fungal_infections/FUNGAL-INFECTION_007_jpg.rf.2b0e0aad14c7b26bc0aca0f2bd6e8d79.jpg,FUNGAL-INFECTION_007_jpg.rf.2b0e0aad14c7b26bc0aca0f2bd6e8d79.jpg,test,train,Fungal Infections,,Purebred,Medium,Body,Partial,9.0,"A purebred dog, of unreported age, presents with medium itching and partial hair loss. The main affected location is the body area. The signs have been present for approximately 9 days.",Synthetic_Probabilistic,No
CASE_efd770ec4e32,FUNGAL-INFECTION_027,train/Fungal_infections/FUNGAL-INFECTION_027_jpg.rf.3bcc206af28a7ef21998eeeb54b0339a.jpg,FUNGAL-INFECTION_027_jpg.rf.3bcc206af28a7ef21998eeeb54b0339a.jpg,train,valid,Fungal Infections,101.0,Purebred,High,Ears,Partial,51.0,"A purebred dog, 101 months old, presents with high itching and partial hair loss. The main affected location is the ears area. The signs have been present for approximately 51 days.",Synthetic_Probabilistic,No
CASE_96f10bdb8c32,1776,test/Fungal_infections/1776_jpg.rf.6074ee89ea682012ddd028a4e75f7b2b.jpg,1776_jpg.rf.6074ee89ea682012ddd028a4e75f7b2b.jpg,test,valid,Fungal Infections,47.0,Purebred,Medium,Belly,Partial,39.0,"Clinical examination of a purebred dog, 47 months old, identified medium itching and partial hair loss. The affected region was mainly the belly area, with a reported duration of approximately 39 days.",Synthetic_Probabilistic,No
CASE_6d4fa6f76585,fungal2,valid/Fungal_infections/fungal2_jpg.rf.d5548719c50feb9e130582eb3d8ee3f5.jpg,fungal2_jpg.rf.d5548719c50feb9e130582eb3d8ee3f5.jpg,valid,test,Fungal Infections,87.0,Mixed,Medium,Paws,No_Hair_Loss,14.0,"A mixed dog, 87 months old, presents with medium itching and no visible hair loss. The main affected location is the paws area. The signs have been present for approximately 14 days.",Synthetic_Probabilistic,No
CASE_0f81b57ab2a4,HEALTHY_059,train/Healthy/HEALTHY_059_jpg.rf.fba1ca30b4230fe03784250c76b12162.jpg,HEALTHY_059_jpg.rf.fba1ca30b4230fe03784250c76b12162.jpg,train,test,Healthy,67.0,Mixed,No_Itching,No_Lesion,No_Hair_Loss,0.0,"The clinical history describes a mixed dog aged 67 months old. The skin appeared normal, with no reported itching or hair loss.",Synthetic_Probabilistic,No
CASE_ac4d7df374c5,HEALTHY_003,valid/Healthy/HEALTHY_003_jpg.rf.d8275c17544594fa6ce19d8ce8d1f7c3.jpg,HEALTHY_003_jpg.rf.d8275c17544594fa6ce19d8ce8d1f7c3.jpg,valid,train,Healthy,28.0,Mixed,No_Itching,No_Lesion,No_Hair_Loss,0.0,"The clinical history describes a mixed dog aged 28 months old. The skin appeared normal, with no reported itching or hair loss.",Synthetic_Probabilistic,No
CASE_2e0d76ae43a4,dogs_272,train/Healthy/dogs_272_jpg.rf.427f5ff871022d84222a3791373fa7ee.jpg,dogs_272_jpg.rf.427f5ff871022d84222a3791373fa7ee.jpg,train,train,Healthy,91.0,Mixed,Low,No_Lesion,No_Hair_Loss,0.0,"A dog of mixed background, aged 91 months old, was observed with no visible hair loss and low itching. The signs were concentrated around no specific lesion location and had continued for approximately 0 days.",Synthetic_Probabilistic,No
CASE_f3588fe11691,HEALTHY_057,train/Healthy/HEALTHY_057_jpg.rf.0b70878e8b415cb0698d7e9793c3eaad.jpg,HEALTHY_057_jpg.rf.0b70878e8b415cb0698d7e9793c3eaad.jpg,train,train,Healthy,92.0,Purebred,No_Itching,No_Lesion,No_Hair_Loss,0.0,"The clinical history describes a purebred dog aged 92 months old. The skin appeared normal, with no reported itching or hair loss.",Synthetic_Probabilistic,No
CASE_e58c794d5671,dogs_124,train/Healthy/dogs_124_jpg.rf.bbc98be950708fa3e45a9e6261a63b6f.jpg,dogs_124_jpg.rf.bbc98be950708fa3e45a9e6261a63b6f.jpg,train,train,Healthy,65.0,Mixed,Low,No_Lesion,Unknown,0.0,"Clinical examination of a mixed dog, 65 months old, identified low itching and an unreported level of hair loss. The affected region was mainly no specific lesion location, with a reported duration of approximately 0 days.",Synthetic_Probabilistic,No
CASE_7c1be38b9845,Hypersensitivity5_png,train/Hypersensitivity/Hypersensitivity5_png_jpg.rf.fe8200ce82184ae043ef3bfb7d1ba13a.jpg,Hypersensitivity5_png_jpg.rf.fe8200ce82184ae043ef3bfb7d1ba13a.jpg,train,test,Hypersensitivity,48.0,Purebred,High,Belly,Partial,5.0,"Clinical examination of a purebred dog, 48 months old, identified high itching and partial hair loss. The affected region was mainly the belly area, with a reported duration of approximately 5 days.",Synthetic_Probabilistic,No
CASE_405f8c114a53,B9781416056638000070_f007-037-9781416056638,train/Hypersensitivity/B9781416056638000070_f007-037-9781416056638_jpg.rf.70f261bc432ac6f87e71578c00b51b54.jpg,B9781416056638000070_f007-037-9781416056638_jpg.rf.70f261bc432ac6f87e71578c00b51b54.jpg,train,train,Hypersensitivity,47.0,Purebred,High,Ears,Partial,47.0,"A dog of purebred background, aged 47 months old, was observed with partial hair loss and high itching. The signs were concentrated around the ears area and had continued for approximately 47 days.",Synthetic_Probabilistic,No
CASE_e71e7d4d1c84,Hypersensitivity_image_3,train/Hypersensitivity/Hypersensitivity_image_3_jpg.rf.7479304d09ab89ed37cd81e803241062.jpg,Hypersensitivity_image_3_jpg.rf.7479304d09ab89ed37cd81e803241062.jpg,train,train,Hypersensitivity,72.0,Mixed,High,Face,Partial,5.0,"The available clinical history concerns a mixed dog that is 72 months old. Findings include high itching, partial hair loss, and changes around the face area. Symptom duration was approximately 5 days.",Synthetic_Probabilistic,No
CASE_17bb27e0559b,1277,train/Hypersensitivity/1277_jpg.rf.ce594ac65f0ab4929a3bb897ecbfc123.jpg,1277_jpg.rf.ce594ac65f0ab4929a3bb897ecbfc123.jpg,train,train,Hypersensitivity,98.0,Mixed,High,Belly,Partial,88.0,"Clinical examination of a mixed dog, 98 months old, identified high itching and partial hair loss. The affected region was mainly the belly area, with a reported duration of approximately 88 days.",Synthetic_Probabilistic,No
CASE_ee77793e7cbf,B9781416056638000070_f007-022-9781416056638,train/Hypersensitivity/B9781416056638000070_f007-022-9781416056638_jpg.rf.a1cf93863935bb1d750499fbf6bb264f.jpg,B9781416056638000070_f007-022-9781416056638_jpg.rf.a1cf93863935bb1d750499fbf6bb264f.jpg,train,valid,Hypersensitivity,16.0,Purebred,High,Ears,Partial,7.0,"The available clinical history concerns a purebred dog that is 16 months old. Findings include high itching, partial hair loss, and changes around the ears area. Symptom duration was approximately 7 days.",Synthetic_Probabilistic,No
CASE_eb9a7af2ac68,ringworm-76-,valid/ringworm/ringworm-76-_jpg.rf.b44c1b7da71e3a61e7c380f21ed80098.jpg,ringworm-76-_jpg.rf.b44c1b7da71e3a61e7c380f21ed80098.jpg,valid,train,Ringworm,18.0,Mixed,Medium,Face,Partial,11.0,"A dog of mixed background, aged 18 months old, was observed with partial hair loss and medium itching. The signs were concentrated around the face area and had continued for approximately 11 days.",Synthetic_Probabilistic,No
CASE_4390c66263dc,436725491_1153113969442923_7349901947606592211_n,train/ringworm/436725491_1153113969442923_7349901947606592211_n_jpg.rf.cca6ed103d01c37d89e41450eb6d8ae2.jpg,436725491_1153113969442923_7349901947606592211_n_jpg.rf.cca6ed103d01c37d89e41450eb6d8ae2.jpg,train,train,Ringworm,59.0,Mixed,No_Itching,Ears,Partial,42.0,"A mixed dog, 59 months old, presents with no noticeable itching and partial hair loss. The main affected location is the ears area. The signs have been present for approximately 42 days.",Synthetic_Probabilistic,No
CASE_72b2141474e6,WIN_20240514_17_33_59_Pro,train/ringworm/WIN_20240514_17_33_59_Pro_jpg.rf.3fc70def4ff93042e20007df834800e7.jpg,WIN_20240514_17_33_59_Pro_jpg.rf.3fc70def4ff93042e20007df834800e7.jpg,train,train,Ringworm,36.0,Purebred,No_Itching,Paws,Partial,30.0,The owner reported no noticeable itching together with partial hair loss in a purebred dog aged 36 months old. Skin changes were mainly observed around the paws area for approximately 30 days.,Synthetic_Probabilistic,No
CASE_5115054ff7f0,ringworm-5-,train/ringworm/ringworm-5-_jpg.rf.4e7c41fbbaa31e8a6f6061f7a86bf5fc.jpg,ringworm-5-_jpg.rf.4e7c41fbbaa31e8a6f6061f7a86bf5fc.jpg,train,train,Ringworm,41.0,Mixed,Medium,Body,No_Hair_Loss,21.0,"Clinical examination of a mixed dog, 41 months old, identified medium itching and no visible hair loss. The affected region was mainly the body area, with a reported duration of approximately 21 days.",Synthetic_Probabilistic,No
CASE_406b544c6ee4,ringworm-90-,train/ringworm/ringworm-90-_jpg.rf.c740ce3f0a5f20a4ba80160b64a77c09.jpg,ringworm-90-_jpg.rf.c740ce3f0a5f20a4ba80160b64a77c09.jpg,train,train,Ringworm,15.0,Purebred,No_Itching,Body,Partial,,"A purebred dog, 15 months old, presents with no noticeable itching and partial hair loss. The main affected location is the body area. The signs have been present for an unreported period.",Synthetic_Probabilistic,No
